광고그룹,키워드,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,-,"2,319,456",9606,0.41,262,"2,512,444"
올인원 패키지 : 업무자동화_VBA,-,"767,491",8058,1.05,296,"2,384,965"
ㅍAOP 전체_중복키워드_디자인(삭제),일러스트,"1,137,840",324,0.03,"4,842","1,568,699"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,-,"694,106",1864,0.27,631,"1,175,174"
3. html,HTML,"9,626,374",814,0.01,"1,408","1,145,903"
6. 파이썬,파이썬,"384,522",260,0.07,"3,705","964,876"
1. 코딩,코딩,"562,162",271,0.05,"3,243","879,560"
2. C언어 일반,C언어,"271,370",154,0.06,"5,269","809,358"
프로그래밍 전체_파워컨텐츠_블록체인(삭제),가상화폐,"91,369",2838,3.11,283,"803,770"
AOP 전체_중복키워드_디자인,포토샵,"1,887,822",394,0.02,"1,914","753,247"
디지털 마케팅 스쿨 13기_대표키워드,마케팅교육,"11,661",140,1.20,"5,002","702,229"
인스타그램 마케팅,인스타팔로워늘리기,"36,201",874,2.41,769,"671,803"
블록체인 신사업 시작하기,블록체인,"200,243",236,0.12,"2,722","643,478"
AOP 전체_중복키워드_비지니스,엑셀,"1,470,452",450,0.03,"1,409","633,897"
올인원 패키지 : 업무자동화_VBA,엑셀배우기,"18,588",2098,11.28,268,"562,870"
올인원 패키지 : 업무자동화_VBA,엑셀자격증,"37,558",1770,4.71,289,"511,181"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬교육,"1,226",56,4.60,"8,831","498,069"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰창업,"17,912",152,0.85,"3,200","487,696"
올인원 패키지 : 영상 제작/편집_6.프리미어프로,영상편집,"125,885",90,0.07,"5,367","483,032"
6. 파이썬,파이썬인강,"3,175",197,6.20,"2,431","478,467"
1. 모바일앱개발_교육,어플개발,"8,033",84,1.05,"5,428","455,939"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UIUX디자인,"9,627",119,1.23,"3,685","437,767"
1. 코딩,코딩인강,"2,503",218,8.73,"1,963","428,670"
1. 모바일앱개발_교육,앱개발,"23,962",103,0.43,"3,983","411,092"
1. 모바일앱개발_교육,어플제작,"6,496",79,1.22,"5,185","410,652"
올인원 패키지 : 데이터 분석 입문(파컨),-,"139,717",618,0.44,636,"393,327"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵,"124,068",2536,2.04,150,"381,359"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상편집,"10,710",278,2.60,"1,353","376,618"
1. 모바일앱개발_교육,앱제작,"4,324",79,1.83,"4,735","375,023"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력,"139,729",1535,1.10,239,"367,147"
인스타그램 마케팅,인스타팔로워,"55,806",542,0.97,656,"355,663"
JavaScript BOOT CAMP,자바스크립트,"29,305",59,0.20,"5,744","337,766"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵배우기,"12,700",1726,13.59,195,"337,117"
1. 일반_PC,게임학원,"6,163",36,0.58,"9,363","337,051"
프로그래밍 전체_파워컨텐츠_블록체인(삭제),이더리움,"39,710",1397,3.52,240,"334,961"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,머신러닝,"22,073",931,4.22,341,"317,779"
ㅍAOP 전체_중복키워드_디자인(삭제),영상제작,"62,542",49,0.08,"6,432","316,448"
디지털 마케팅 스쿨 13기_대표키워드,SNS마케팅교육,"3,378",96,2.84,"3,257","312,664"
AOP 전체_중복키워드_공통,데이터사이언스,"4,336",66,1.52,"4,624","305,195"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력2급,"88,751",1283,1.45,234,"300,058"
AOP 전체_중복키워드_프로그래밍,파이썬강좌,"3,489",38,1.10,"7,658","294,085"
003.퍼포먼스 마케팅,구글광고,"6,535",71,1.08,"4,115","291,346"
2. 프로그래밍,프로그래밍인강,"1,568",136,8.65,"2,083","282,480"
올인원 패키지 : 업무자동화_VBA,컴퓨터활용능력1급,"94,757",1192,1.26,237,"282,018"
마케팅 유치원,마케팅교육,"9,161",106,1.15,"2,566","270,963"
올인원 패키지 : 업무자동화_VBA,컴퓨터자격증종류,"21,458",893,4.16,300,"267,597"
1. 모바일앱개발_교육,어플만들기,"6,353",54,0.85,"4,902","264,704"
올인원 패키지 : 업무자동화_1. 자동화,업무자동화,"11,662",49,0.42,"5,278","259,655"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵,"1,021,846",157,0.02,"1,625","255,475"
올인원 패키지 : 브랜딩,브랜딩,"35,200",98,0.28,"2,506","246,543"
ㅍ올인원 패키지 : 브랜딩,브랜딩,"35,049",107,0.30,"2,219","236,962"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,상세페이지제작,"15,835",110,0.70,"2,066","228,096"
AOP 전체_중복키워드_데이터사이언스,데이터사이언스,"3,860",50,1.31,"4,344","218,955"
8. 시스템 프로그래밍,리눅스,"281,599",86,0.03,"2,531","218,647"
AOP 전체_중복키워드_디자인,포토샵강좌,"34,653",42,0.12,"5,112","214,720"
1. 코딩,코딩프로그램,"15,300",83,0.54,"2,553","211,387"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UIUX디자인,"6,216",73,1.18,"2,882","210,991"
올인원 패키지 : 프로그래밍 첫걸음 시작하기,-,"88,800",599,0.67,352,"210,650"
AOP 전체_중복키워드_디자인,프리미어프로,"213,033",132,0.06,"1,574","207,702"
페이스북&인스타그램 마케팅 실전,SNS마케팅교육,"1,215",78,6.42,"2,652","206,877"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,일러스트레이터,"37,912",755,1.99,270,"203,841"
Python & Django를 활용한 웹 서비스_개발자,스프링,"90,942",68,0.08,"2,957","202,290"
5. 자료구조,자료구조,"38,812",47,0.12,"4,317","202,037"
ㅍ올인원 패키지 : 브랜딩,브랜드네이밍,"5,038",88,1.74,"2,304","201,861"
fin_camp_auction_6,경매,"65,170",204,0.31,981,"200,211"
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,인터넷쇼핑몰창업,"1,691",54,3.19,"3,692","199,375"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,온라인쇼핑몰창업,"7,263",79,1.09,"2,495","197,571"
AOP 전체_중복키워드_비지니스,엑셀강의,"11,848",70,0.59,"2,832","197,076"
003.퍼포먼스 마케팅,온라인마케팅교육,"2,681",73,2.73,"2,648","193,864"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬강의,"1,405",40,2.82,"4,755","188,287"
타이포그래피와 편집디자인,폰트,"478,588",474,0.10,396,"187,693"
올인원 패키지 : 디지털 마케팅_1. 디지털 마케팅,온라인마케팅교육,"4,712",54,1.15,"3,460","186,846"
AOP 전체_중복키워드_마케팅,온라인마케팅,"25,645",43,0.17,"4,294","185,493"
1. 모바일앱개발_교육,어플제작비용,"1,786",70,3.90,"2,653","184,646"
fin_camp_auction_6,부동산경매,"5,087",50,0.99,"3,606","181,742"
마케터를 위한 데이터 부트캠프,퍼포먼스마케팅,"5,131",55,1.08,"3,275","180,774"
코딩으로 여행하는 블록체인 서비스,블록체인,"82,524",83,0.10,"2,137","176,946"
2. C언어 일반,C++,"17,190",37,0.22,"4,654","173,129"
1. 일반_PC,게임만드는프로그램,"4,908",40,0.81,"4,322","171,138"
AOP 전체_중복키워드_비지니스,엑셀배우기,"23,329",70,0.30,"2,333","162,349"
AOP 전체_중복키워드_마케팅,마케팅,"152,716",110,0.07,"1,454","160,556"
1. 모바일앱개발_교육,앱만들기,"4,722",53,1.12,"2,951","155,804"
AOP 전체_중복키워드_디자인,스케치,"200,487",133,0.07,"1,166","155,254"
프로그래밍 전체_파워컨텐츠_블록체인(삭제),블록체인,"64,981",2798,4.31,55,"154,748"
AOP 전체_중복키워드_디자인,영상제작,"47,189",29,0.06,"5,337","153,692"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰제작,"10,656",38,0.36,"3,892","149,468"
올인원 패키지 : 업무자동화_VBA,컴퓨터자격증,"20,796",476,2.29,310,"147,774"
AOP 전체_중복키워드_디자인,에프터이펙트,"60,248",31,0.05,"4,664","145,530"
1. 모바일앱개발_교육,어플리케이션제작,"1,229",26,2.15,"5,481","144,694"
AOP 전체_중복키워드_디자인,일러스트,"101,109",35,0.03,"4,150","144,430"
상업용 부동산 실무 입문 4기,강남빌딩매매,"11,028",32,0.29,"4,372","141,647"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,웹디자인,"3,889",107,2.75,"1,315","140,448"
올인원 패키지 : 디지털 마케팅_1. 디지털 마케팅,디지털마케팅,"25,573",43,0.17,"3,236","139,788"
AOP 전체_중복키워드_디자인,포토샵강의,"8,190",47,0.57,"2,930","137,137"
포토샵 유치원_일러스트레이터 유치원,포토샵,"691,814",130,0.02,"1,052","136,279"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵자격증,"18,602",1060,5.70,125,"132,748"
고객의 마음을 읽는 구글애널리틱스,구글애널리틱스자격증,"6,196",90,1.45,"1,471","132,352"
왕초보의 파이썬 웹 프로그래밍 CAMP,PYTHON,"22,657",36,0.16,"3,553","127,908"
페이스북&인스타그램 마케팅 실전,페이스북광고,"2,794",49,1.76,"2,583","127,061"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,유튜브마케팅,"44,369",61,0.14,"2,056","125,851"
올인원 패키지 : 업무자동화_VBA,엑셀학원,"4,873",452,9.28,278,"125,785"
1. 일반_PC,게임제작,"35,802",25,0.07,"4,850","122,221"
fin_camp_auction_6,부동산투자,"10,660",18,0.17,"6,784","122,111"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,홍보영상,"110,768",48,0.04,"2,514","120,692"
마케팅KPI수립,마케팅전략,"9,688",32,0.33,"3,594","116,446"
AOP 전체_중복키워드_디자인,인디자인,"108,188",43,0.04,"2,671","115,390"
6. 파이썬,PYTHON,"72,065",30,0.04,"3,784","113,509"
프로그래밍 유치원,홈페이지만들기,"5,620",29,0.51,"3,813","109,813"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,B2B사이트,"3,030",67,2.22,"1,613","108,405"
JavaScript BOOT CAMP,JAVASCRIPT,"6,243",25,0.40,"4,213","106,172"
ㅍAOP 전체_중복키워드_프로그래밍(삭제),파이썬강좌,"2,415",18,0.75,"5,876","105,765"
페이스북&인스타그램 마케팅 실전,인스타그램광고,"3,726",42,1.13,"2,516","105,655"
#000_마케팅 전체_main,마케팅,"207,265",116,0.06,899,"104,676"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,동영상제작,"5,388",36,0.67,"2,897","104,302"
SEO/SEM 전략,SEO,"6,624",34,0.51,"3,097","104,049"
올인원 패키지 : 투자_파워콘텐츠,재테크,"4,810",300,6.24,343,"102,894"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,쇼핑몰창업,"23,301",32,0.14,"3,140","101,728"
올인원 패키지 : 1인 쇼핑몰 시작하기_00.창업_PC,인터넷쇼핑몰,"37,930",85,0.22,"1,187","101,101"
1. 일반_PC,게임프로그래밍학원,"1,174",13,1.12,"7,638","100,826"
2. 프로그래밍,프로그래밍,"68,689",35,0.05,"2,886","100,419"
상업용 부동산 실무 입문 4기,서울빌딩매매,"1,826",31,1.71,"3,210","100,166"
올인원 패키지 : 업무자동화_VBA,MOS자격증,"42,228",295,0.70,336,"99,110"
ㅍAOP 전체_중복키워드_공통(삭제),데이터사이언스,"3,974",25,0.63,"3,922","98,835"
1. 일반_PC,모바일게임제작,"2,244",20,0.91,"4,831","98,549"
올인원 패키지 : 콘텐츠 마케팅_영상바이럴,영상촬영,"109,005",46,0.04,"2,161","98,527"
AOP 전체_중복키워드_비지니스,엑셀학원,"1,559",26,1.69,"3,718","98,153"
올인원 패키지 : 업무자동화_VBA,컴활1급,"34,497",379,1.10,258,"97,702"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,유튜브크리에이터,"47,874",37,0.08,"2,619","97,416"
올인원 패키지 : 파이썬 웹 개발_2.프론트엔드기초,HTML,"913,844",80,0.01,"1,194","95,964"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,에프터이펙트,"20,104",242,1.21,394,"95,469"
올인원 패키지 : 업무자동화_4. VBA,엑셀VBA,"38,927",71,0.18,"1,323","93,665"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵학원,"4,188",186,4.44,503,"93,621"
올인원 패키지 : 금융공학/퀀트_01.파이썬기본&자동화,데이터베이스,"152,389",31,0.02,"2,989","93,269"
타이포그래피와 편집디자인,글씨체,"106,648",216,0.20,425,"91,806"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상편집학원,"2,779",80,2.89,"1,129","90,805"
TensorFlow로 시작하는 딥러닝 입문,텐서플로우,"11,409",78,0.68,"1,160","90,475"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰홈페이지제작,"1,391",22,1.55,"3,992","86,218"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀교육,"2,599",34,1.29,"2,561","86,064"
고객의 마음을 읽는 구글애널리틱스,그로스해킹,"9,487",109,1.15,787,"85,965"
1. 일반_PC,게임개발,"5,246",11,0.21,"7,881","85,118"
002.마케팅 입문,마케팅자격증,"11,558",144,1.25,590,"85,008"
올인원 패키지 : 업무자동화_VBA,컴활1급실기,"34,971",508,1.45,159,"80,718"
올인원 패키지 : 그로스해킹_5.마케팅 분석,광고대행사,"5,237",23,0.44,"3,536","80,630"
1. 데이터분석입문_일반,통계학원,"1,197",47,3.91,"1,706","79,860"
1. 모바일앱개발_교육,모바일앱개발,"1,037",22,2.08,"3,633","78,474"
data_camp_rmp_8,R,"290,811",114,0.04,682,"77,715"
1. 모바일앱개발_교육,안드로이드앱만들기,"2,915",24,0.82,"3,232","77,561"
올인원 패키지 : 업무자동화_2. 파이썬,파이썬기초,"4,997",13,0.26,"5,872","77,506"
올인원 패키지 : 투자_파워콘텐츠,주식,"35,889",298,0.83,257,"76,494"
1. 모바일앱개발_교육,하이브리드앱,"2,161",23,1.06,"3,346","76,296"
ㅍAOP 전체_중복키워드_마케팅(삭제),온라인마케팅,"14,312",23,0.16,"3,328","75,889"
ㅍAOP 전체_중복키워드_디자인(삭제),인디자인,"57,942",30,0.05,"2,519","75,559"
SEO/SEM 전략,검색엔진최적화,"1,232",22,1.75,"3,474","75,031"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀실무,"6,797",42,0.62,"1,771","74,393"
올인원 패키지 : 업무자동화_VBA,컴활2급실기,"38,850",391,1.01,190,"74,305"
올인원 패키지 : 게임 개발,-,"43,858",234,0.53,313,"73,150"
올인원 패키지 : 업무자동화_VBA,컴활,"61,195",346,0.56,211,"72,787"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,인터넷쇼핑몰제작,"8,407",17,0.20,"4,311","72,424"
상업용 부동산 실무 입문 4기,상가빌딩매매,"10,778",18,0.17,"4,009","72,160"
ㅍAOP 전체_중복키워드_마케팅(삭제),퍼포먼스마케팅,"4,422",24,0.54,"2,969","71,258"
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,쇼핑몰,"31,759",56,0.18,"1,251","70,565"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UX디자인,"5,703",18,0.32,"3,873","69,707"
올인원 패키지 : 업무자동화_VBA,컴활2급,"31,563",311,0.98,217,"67,419"
1. 일반_PC,유니티강좌,"4,291",13,0.31,"4,983","65,780"
AOP 전체_중복키워드_디자인,프리미어,"198,096",40,0.02,"1,618","64,053"
타이포그래피와 편집디자인,한글폰트,"82,983",206,0.25,308,"63,492"
올인원 패키지 : 업무자동화_4. VBA,VBA,"81,485",77,0.09,809,"62,095"
1. 코딩,코딩이란,"31,868",34,0.11,"1,808","60,764"
페이스북&인스타그램 마케팅 실전,SNS마케팅,"2,281",25,1.10,"2,406","60,621"
ㅍAOP 전체_중복키워드_디자인(삭제),마블,"907,619",228,0.03,265,"60,533"
마케터를 위한 데이터 해석 실전,GA자격증,"3,608",64,1.76,929,"59,081"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,콘텐츠제작,"3,572",24,0.67,"2,416","57,981"
AOP 전체_중복키워드_마케팅,구글애널리틱스,"16,760",38,0.23,"1,508","57,893"
마케팅 전체,바이럴마케팅,"3,095,998",262,0.01,220,"57,563"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UI디자인,"7,087",13,0.19,"4,349","57,409"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,1인미디어,"37,024",31,0.08,"1,828","57,035"
1. 경영 일반,경영,"253,775",80,0.03,707,"56,881"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵자격증,"10,064",14,0.14,"3,939","56,716"
Vue로 구현하는 PWA CAMP,하이브리드앱,"1,356",11,0.80,"5,209","56,254"
AOP 전체_중복키워드_디자인,포토샵자격증,"15,316",14,0.09,"3,902","56,188"
올인원 패키지 : 브랜딩,브랜드네이밍,"5,675",24,0.42,"2,326","55,825"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상편집자격증,"7,544",173,2.29,322,"55,660"
1. 전체,리플렛디자인,"8,128",22,0.27,"2,528","54,604"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,인디자인,"20,147",488,2.42,111,"54,450"
001.데이터분석/ 통계,데이터사이언티스트,"2,427",50,2.08,"1,054","53,097"
1. 일반_PC,유니티3D,"5,763",12,0.21,"4,418","53,020"
5. javascript,자바스크립트,"55,573",17,0.03,"3,148","52,888"
AOP 전체_중복키워드_디자인,일러스트레이터강좌,"2,757",19,0.70,"2,755","52,888"
001.데이터분석/ 통계,데이터분석준전문가,"11,326",49,0.43,"1,060","52,151"
올인원 패키지 : 영상 제작/편집_6.프리미어프로,유튜브편집,"77,062",29,0.04,"1,808","52,063"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,모션그래픽,"2,452",36,1.47,"1,445","52,008"
ㅍ1. 전체,리플렛디자인,"3,322",20,0.61,"2,471","50,402"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,포토샵강좌,"2,961",302,10.21,167,"50,369"
Python & Django를 활용한 웹 서비스_개발자,SPRING,"24,925",18,0.07,"2,756","49,610"
1. 전체,어도비일러스트레이터,"31,324",24,0.08,"2,042","49,005"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,SNS광고,"7,888",17,0.21,"2,906","48,829"
올인원 패키지 : 1인 쇼핑몰 시작하기_05.상품촬영,쇼핑몰촬영,"82,039",24,0.03,"2,020","48,477"
1. 컴퓨터공학 일반,컴공,"231,145",91,0.04,531,"48,444"
AOP 전체_중복키워드_마케팅,브랜드마케팅,"6,540",10,0.15,"5,022","48,213"
상업용 부동산 실무 입문 4기,창고매매,"642,191",78,0.01,617,"48,114"
AOP 전체_중복키워드_데이터사이언스,데이터분석,"7,098",6,0.08,"7,948","47,685"
ㅍAOP 전체_중복키워드_디자인(삭제),프리미어프로,"127,788",40,0.03,"1,202","47,597"
올인원 패키지 : 투자_파워콘텐츠,펀드,"4,855",179,3.68,263,"46,937"
Python & Django를 활용한 웹 서비스_개발자,PHP,"11,304",13,0.12,"3,490","46,068"
AOP 전체_중복키워드_디자인,UXUI,"8,957",28,0.31,"1,645","45,408"
올인원 패키지 : 파이썬 웹 개발_3.FLASK기초,SQL,"7,980",12,0.15,"3,781","45,375"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UI디자인,"2,812",13,0.47,"3,430","45,276"
왕초보의 파이썬 웹 프로그래밍 CAMP,웹크롤링,"1,929",13,0.68,"3,417","45,100"
올인원 패키지 : 디지털 마케팅_2. 페이스북 광고,페이스북광고,"6,750",16,0.23,"2,821","44,011"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵강의,"3,292",16,0.47,"2,794","43,593"
올인원 패키지 : 투자_파워콘텐츠,투자,"3,567",136,3.80,314,"42,537"
2. C언어 일반,C언어프로그램,"8,779",12,0.14,"3,472","41,668"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,빅데이터자격증,"5,459",104,1.91,396,"41,327"
1. 코딩,코딩사이트,"3,404",32,0.95,"1,273","41,239"
올인원 패키지 : 금융공학/퀀트_01.파이썬기본&자동화,파이썬프로그래밍,"7,171",8,0.12,"4,847","40,711"
인스타그램 마케팅,인스타그램팔로워늘리기,"9,462",46,0.48,889,"40,557"
1. 컴퓨터공학 일반,컴퓨터공학,"26,252",18,0.07,"2,243","40,381"
상업용 부동산 실무 입문 4기,건물매입,"4,674",20,0.44,"1,962","40,029"
AOP 전체_중복키워드_디자인,일러스트레이터,"115,582",13,0.01,"2,993","39,512"
마케터를 위한 데이터 해석 실전,퍼포먼스마케팅,"2,419",25,1.04,"1,556","39,204"
올인원 패키지 : 영상 제작/편집_2.영상제작이론,영상제작,"19,186",12,0.06,"3,263","39,160"
8. 시스템 프로그래밍,LINUX,"50,143",20,0.04,"1,894","38,643"
대기업을 이기는 브랜딩 전략,브랜딩디자인,"1,378",24,1.74,"1,598","38,357"
2. C언어 일반,C언어기초,"3,850",7,0.19,"5,280","38,016"
ㅍAOP 전체_중복키워드_디자인(삭제),포토샵강좌,"10,559",10,0.09,"3,957","37,983"
올인원 패키지 : 영상 제작/편집_9.유튜브/유튜버,유튜브영상제작,"2,476",10,0.39,"3,913","37,565"
1. 일반_PC,모바일게임개발,"1,554",7,0.46,"5,216","37,554"
올인원 패키지 : 금융공학/퀀_03.금융공학,딥러닝,"41,707",11,0.03,"3,460","37,367"
올인원 패키지 : 리더를 위한 HR/인재경영_1.인재,인사관리,"21,353",7,0.03,"5,133","36,960"
포토샵 유치원_일러스트레이터 유치원,로고디자인,"19,614",34,0.17,"1,100","36,960"
ㅍAOP 전체_중복키워드_디자인(삭제),일러스트레이터,"96,839",16,0.02,"2,360","36,817"
올인원 패키지 : 1인 쇼핑몰_00.창업_MO,쇼핑몰창업,"2,267",10,0.42,"3,825","36,718"
ㅍAOP 전체_중복키워드_디자인(삭제),프리미어,"157,060",25,0.02,"1,456","36,685"
대기업을 이기는 브랜딩 전략,브랜딩,"3,971",22,0.54,"1,689","36,476"
내 아이템에 맞는 영상 콘텐츠 기획/제작,유튜브동영상,"40,372",34,0.08,"1,085","36,465"
올인원 패키지 : 업무자동화_VBA,컴퓨터학원,"5,352",67,1.26,541,"36,322"
1. 일반_PC,게임만들기,"8,308",10,0.12,"3,723","35,739"
ㅍ올인원 패키지 : 브랜딩,브랜드디자인,"3,896",12,0.31,"2,932","35,189"
ㅍ올인원 패키지 : UX/UI 디자인 입문_연관검색어(삭제),UIUX,"4,332",18,0.42,"1,929","34,727"
ㅍAOP 전체_중복키워드_데이터사이언스(삭제),데이터분석,"2,526",5,0.19,"7,189","34,507"
올인원 패키지 : 콘텐츠 마케팅_카피라이팅,카피라이팅,"18,352",34,0.18,"1,001","33,627"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,영상제작,"3,557",34,0.94,998,"33,528"
올인원 패키지 : 그로스해킹_1.용어,랜딩페이지,"3,805",22,0.57,"1,549","33,462"
프로그래밍 유치원,프로그래밍독학,"1,468",10,0.65,"3,455","33,165"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,유튜브제작,"4,829",13,0.27,"2,513","33,165"
AOP 전체_중복키워드_마케팅,퍼포먼스마케팅,"4,673",11,0.23,"3,068","33,132"
003.퍼포먼스 마케팅,빅데이터마케팅,"1,237",20,1.65,"1,616","32,967"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,인스타그램광고,"16,734",12,0.07,"2,732","32,780"
AOP 전체_중복키워드_마케팅,GA,"14,655",6,0.04,"5,432","32,593"
올인원 패키지 : 업무자동화_VBA,MOS,"21,298",91,0.43,357,"32,516"
AOP 전체_중복키워드_디자인,어도비포토샵,"43,215",14,0.03,"2,218","31,933"
1_벤처캐피탈에 대한 이해(벤처캐피탈),투자금,"51,003",62,0.12,510,"31,834"
1. 일반_MO,게임제작,"2,025",5,0.24,"6,605","31,702"
올인원 패키지 : 영상 제작/편집_9.유튜브/유튜버,유튜브제작,"4,062",11,0.27,"2,917","31,504"
002.R,RSTUDIO,"9,923",47,0.47,669,"31,328"
올인원 패키지 : 1인 쇼핑몰 시작하기_05.상품촬영,쇼핑몰사진촬영,"1,874",11,0.58,"2,888","31,185"
PYTHON & DJANGO를 활용한  웹 서비스 개발,DJANGO,"3,382",36,1.06,864,"31,086"
올인원 패키지 : 디지털 마케팅_3. 구글 광고,GDN,"10,953",12,0.11,"2,583","30,998"
올인원 패키지 : 데이터 분석 입문 온라인_파콘,빅데이터,"11,916",48,0.40,646,"30,987"
AOP 전체_중복키워드_마케팅,카드뉴스제작,"1,270",12,0.94,"2,569","30,822"
ㅍAOP 전체_중복키워드_디자인(삭제),에프터이펙트,"33,511",8,0.03,"3,571","29,997"
올인원 패키지 : 1인 쇼핑몰 시작하기_06.해외쇼핑몰,해외쇼핑몰,"4,312",22,0.50,"1,377","29,744"
LaTeX를 활용한 효율적 논문작성 Workshop,논문,"134,219",38,0.03,769,"29,546"
1. 일반_PC,게임UI,"7,124",6,0.08,"4,880","29,282"
인디자인 유치원,나만의책만들기,"1,398",46,3.26,642,"29,282"
AOP 전체_중복키워드_마케팅,로그분석,"9,793",7,0.07,"4,052","29,172"
AOP 전체_중복키워드_디자인,인디자인강좌,"1,633",11,0.66,"2,692","29,073"
올인원 패키지 : 업무자동화_3. 엑셀,엑셀함수,"237,356",34,0.01,865,"29,051"
마케팅 전체,광고,"742,643",112,0.02,258,"28,743"
001.데이터분석/ 통계,데이터사이언스,"1,673",23,1.36,"1,258","28,677"
올인원 패키지 : 1인 쇼핑몰 시작하기_02.쇼핑몰구축,쇼핑몰사이트제작,"58,612",11,0.02,"2,644","28,556"
ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀,"387,261",68,0.02,416,"28,468"
올인원 패키지 : 그로스해킹_5.마케팅 분석,영업관리,"59,724",8,0.01,"3,379","28,380"
딥러닝으로 배우는 병렬처리 CAMP,TENSORFLOW,"4,110",10,0.23,"2,941","28,237"
프로그래밍 유치원,삼성아카데미,"10,032",14,0.14,"1,954","28,138"
#000_마케팅 전체_main,페이스북좋아요늘리기,"5,583",40,0.71,703,"27,852"
ㅍAOP 전체_중복키워드_디자인(삭제),스케치,"100,107",35,0.03,793,"27,610"
올인원 패키지 : 디자인 툴_파워컨텐츠_포토샵,일러스트레이터강좌,"1,864",148,7.92,185,"27,379"
ㅍAOP 전체_중복키워드_비지니스(삭제),엑셀배우기,"9,721",16,0.16,"1,749","27,291"
올인원 패키지 : 콘텐츠 마케팅_대표키워드,온라인마케팅회사,"2,389",19,0.80,"1,393","26,741"
고객의 마음을 읽는 구글애널리틱스,애널리틱스,"24,043",18,0.07,"1,462","26,312"
올인원 패키지 : 투자_파워콘텐츠,재태크,"3,446",126,3.66,209,"26,290"
올인원 패키지 : 영상 제작/편집_3.촬영 기법/장비1,영상장비,"10,299",17,0.16,"1,561","26,224"
AOP 전체_중복키워드_디자인,프리미어강좌,"1,197",11,0.90,"2,405","25,971"
상업용 부동산 실무 입문 4기,서울건물매매,"5,026",13,0.26,"1,938","25,586"
1. 일반_PC,UNITY,"82,310",7,0.01,"3,552","25,575"
올인원 패키지 : 업무자동화_VBA,모스자격증,"16,863",198,1.17,129,"25,564"
올인원 패키지 : UX/UI 디자인 입문_연관검색어,UIUX,"5,569",13,0.24,"1,902","25,102"
올인원 패키지 : FAST MBA_파워컨텐츠_아마존,-,"19,055",78,0.41,322,"25,080"
